Age,Gender,ssc_p,hsc_p,deg_p,yr_gap,degree,Stream,interest,placed,pkg,j_type,coaching,textbook,ref_book,internet,ds,algo,dbms,os,oop,cn,code_prac,code_hrs,comp_prog,gfg,hrank,hearth,code_ques,rank,internship,intern_type,no_course
21,Female,85.5,78.2,67.57,0,be,comp,5,N,,N,N,0,0,1,4,4,5,4,4,3,Y,1,N,0,1,0,20,N,Y,T,0
21,Female,95.4,78.77,77.02,0,be,comp,4,N,,N,N,1,0,1,3,3,3,3,3,3,Y,1,Y,0,1,0,10,Y,N,N,1
22,Female,73,84,69,0,be,it,5,N,,N,N,0,0,1,4,4,4,4,5,4,Y,2,N,0,1,1,85,Y,Y,T,1
21,Female,79,83,64.44,0,be,comp,4,N,,N,N,1,1,1,2,2,3,1,3,4,N,1,N,0,1,0,2,Y,Y,T,0
21,Female,80,81,68,0,be,comp,4,N,,N,N,1,0,0,3,3,3,3,4,4,N,1,N,0,1,0,10,N,Y,T,1
22,Male,80,76,78,0,be,comp,5,Y,3.6,Technical,N,1,0,1,1,1,1,1,1,2,Y,3 ,Y,0,1,1,4,N,Y,T,1
22,Female,76,87,69,0,be,it,4,N,,N,N,0,0,1,3,3,4,4,4,4,N,3,N,1,1,1,30,N,N,N,1
21,Female,92.4,71.54,71,0,be,comp,3,Y,3.6,Technical,N,1,1,1,3,3,4,3,3,3,N,2,N,0,0,0,0,N,N,N,5
23,Female,91.4,72,88,0,be,comp,4,Y,4,Technical,N,0,0,1,4,4,4,3,5,5,N,3,N,0,0,0,0,N,N,N,0
21,Female,92.4,78.92,77.54,0,be,it,5,Y,4.41,Technical,N,1,1,1,3,3,4,4,4,3,N,3,Y,0,1,0,0,N,N,N,2
22,Female,91.8,75.85,74,0,be,comp,5,N,,N,N,0,1,0,4,4,4,4,4,4,Y,3,N,0,0,0,0,Y,Y,T,0
25,Female,70.91,48.33,63.3,3,be,comp,4,N,,N,Y,1,0,1,3,3,2,3,2,2,Y,3,Y,1,0,0,30,N,N,N,0
22,Female,85.8,71.54,68,0,be,comp,3,Y,3.5,Technical,N,1,0,1,4,4,4,4,4,3,Y,2,Y,0,0,1,50,Y,Y,T,4
21,Female,89.8,74.46,70,0,be,comp,4,Y,3.2,Technical,Y,1,0,1,3,3,2,3,3,2,Y,3,N,0,1,0,0,N,N,N,0
25,Male,89,91,78,0,btech,comp,5,Y,9,Technical,N,1,1,1,4,4,4,3,4,4,N,,Y,0,1,0,150,N,N,N,3
21,Female,80,65,80.5,0,be,it,4,Y,4.5,Technical,N,1,1,1,4,5,2,3,4,2,N,1,N,1,1,1,10,N,N,N,0
25,Male,68,72,62,0,be,comp,2,Y,4.5,Technical,N,1,1,1,4,3,4,2,3,2,Y,1,Y,0,1,0,50,N,N,N,0
24,Male,79,68,59,0,be,it,3,N,,N,N,1,1,1,2,3,3,1,2,1,N,0,N,0,0,0,0,N,N,N,0
21,Female,80.6,89.19,74,0,be,comp,4,Y,3.5,N,N,1,0,0,4,4,4,4,4,4,Y,1,N,0,1,0,4,N,N,N,0
21,Female,86.8,64.80,60,0,be,comp,4,N,,N,Y,0,0,1,4,4,4,4,5,5,Y,2 ,N,0,1,0,5,N,N,N,0
21,Female,85,62,76,0,btech,comp,4,N,,N,N,0,0,1,2,4,2,4,2,3,Y,3,N,0,0,1,40,N,N,N,2
21,Female,93.8,90.06,86,0,btech,comp,4,N,,N,N,0,0,1,1,1,2,4,3,5,Y,1,N,0,1,0,30,N,Y,T,1
23,Female,91.8,80,60,0,be,it,4,Y,3.6,Technical,N,1,0,1,3,3,3,3,3,4,Y,2,N,0,1,1,10,N,Y,T,3
21,Female,74,72,70,0,btech,comp,5,Y,4.25,Technical,N,1,1,1,3,3,3,3,3,4,Y,2,N,0,1,0,0,N,N,N,1
22,Female,92,82,72,0,be,comp,4,Y,3.36,Technical,N,1,0,1,3,4,4,3,3,4,Y,6,Y,0,1,1,10,N,N,N,0
22,Female,91,70,74,0,be,comp,4,Y,3.36,Technical,N,1,0,0,5,5,5,3,3,4,Y,5,N,0,1,0,0,N,N,N,0
24,Female,86,82,82,1,be,comp,5,Y,3.4,Technical,N,1,1,1,4,2,1,3,3,4,Y,0,Y,0,1,0,0,N,N,N,1
22,Female,79,79,69,0,be,ENTC,5,Y,3.4,Technical,N,1,0,0,3,3,2,3,3,5,Y,2,Y,0,0,0,0,N,Y,T,0
27,Female,88,72,74,0,be,ENTC,4,Y,3.4,Technical,N,0,1,0,3,3,5,3,5,5,Y,4,Y,1,0,1,0,N,N,N,1
22,Male,87.9,63,69,0,be,ENTC,1,Y,6,Technical,N,0,0,0,3,3,2,3,5,5,Y,0,N,1,1,1,0,N,Y,T,2
21,Female,90,81,73,0,be,comp,5,N,,N,N,1,0,0,3,4,4,4,5,5,Y,1,N,1,0,0,0,N,N,N,2
27,Male,60,55,60,0,be,comp,5,N,,N,N,1,0,1,3,5,4,4,5,5,Y,0,N,0,0,0,0,N,Y,T,0
22,Male,87,62,66,0,be,comp,5,Y,3.5,Technical,N,0,0,1,3,2,4,4,4,3,Y,2,Y,0,0,0,15,N,Y,T,1
22,Male,68,71,73,0,be,comp,4,N,,N,N,1,1,1,3,3,3,4,5,3,Y,4,Y,1,0,0,0,N,N,N,0
21,Female,91,78,74,0,be,ENTC,4,Y,2.5,Technical,N,1,0,1,5,3,3,5,3,3,Y,8,N,0,1,1,0,N,N,N,0
21,Female,88,70,81,1,be,comp,5,Y,3.8,Technical,N,0,1,1,4,3,3,3,4,3,Y,0,N,1,1,0,500,Y,N,N,1
